Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mexico,MEX,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.2923656613406,45.8505833774117,44.8919003998869,..,..
Mexico,MEX,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.46497631,2.4219811,2.52675939,2.61655521,2.86067653,2.8809936,2.91415977,3.00721931,3.12253189,2.89231014,2.98734307,2.84779787,2.75801325,2.67172027,2.67861629,3.29035473,3.04519415,..,..
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,19.8664920919382,19.8697097082398,19.793544445413,21.7043364179967,20.9562431712248,..,..
Mexico,MEX,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.74220134273489,2.16872807483117,2.81394170286004,2.56150056741208,2.08303784866805,2.76140572905014,1.94422301368167,1.45258835713597,3.83652684688553,2.08414077099253,2.98772808721934,3.49742216359818,2.78101459019496,3.01338710793554,2.29436351358525,2.81273855389181,2.5711267329844,2.66763590781634,..
Mexico,MEX,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.663910230448124,3.38875708958024,0.743081231410244,-0.328086091072763,-7.44700134811362,3.58800270790793,1.97772851976931,2.11702295235642,-0.467572581919256,1.23907995260342,1.51074466053764,0.625682742880969,0.777009677575364,1.00624883578185,-1.13234162481218,-9.31350271613651,5.24740367881364,3.24716753481546,..
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,8702.11448090478,9545.28672531477,10178.4422371206,10589.9518745518,8495.65308070414,9823.16407600128,10766.6099388208,10842.7330888296,11317.4910611485,11490.0216901556,10098.1731805195,9152.73722334937,9693.33009125499,10130.3206984553,10434.5783651735,8894.89065003643,10359.1498625832,11496.5228716049,..
Mexico,MEX,GDP per capita (current LCU),NY.GDP.PCAP.CN,94834.7037845363,104036.389978593,111231.971028164,117863.167407381,114805.795514768,124125.579849665,133757.0944182,142792.918018552,144546.90529306,152730.538815309,160038.544777113,170827.218395352,183460.976758749,194951.356090752,201007.888136442,191112.133709548,210004.91254743,231394.539619797,..
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.11324711473297,4.80501352193184,2.07786393942817,0.943331858052289,-6.29525055291316,4.9713345620779,3.44404507835114,3.55321075014902,0.852101564092919,2.50376350288664,2.70232342550646,1.77249323408108,1.87172852475888,1.97208211117706,-0.278148781271128,-8.65158681905974,5.83782952301841,3.89823146126129,..
Mexico,MEX,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,20613.5608936288,21312.1043998266,21470.4706476403,21400.0290197575,19806.3685701595,20517.021610795,20922.7925985989,21365.7329201852,21265.8326111243,21529.333279763,21854.5865327363,21991.3269091997,22162.2016475114,22385.2085435731,22131.7315094332,20070.4920941741,21123.6718346798,21809.5928486565,..
Mexico,MEX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13306.6563916259,14591.5841588851,15097.2879014088,15779.1903706123,15322.6333251744,16063.1663319243,17432.1475042725,18170.0246425433,18333.3743799667,18983.7789898807,19217.8587908168,20225.710240328,20582.2523679391,21015.9257556815,21095.7354216286,19471.5023678685,21123.6718346798,23900.3799175672,..
Mexico,MEX,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,52262.3501367039,53009.8895492115,53046.2987460344,52918.4655805559,49518.1088394834,51096.1135724795,51645.3094660259,51683.8247204611,51287.8391141848,51998.1726586728,52046.6441100274,51885.1375574459,51918.3536934729,51841.0208124353,50479.6901853108,49801.5317022819,48963.7607876178,48954.6253026589,..
Mexico,MEX,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.84568977355957,4.69992017745972,4.69050979614258,4.82006978988647,5.18794012069702,5.15922021865845,5.10564994812012,5.10309982299805,4.69605016708374,5.25747013092041,5.22942018508911,4.90681982040405,4.51821994781494,4.2542200088501,..,4.62572002410889,..,..,..
Mexico,MEX,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,10.0762299871274,9.89214269841943,9.94789283536208,10.2592374994464,11.3834438567849,11.2739649233334,11.3282462831633,11.4486765375607,11.7127320785637,11.7538929156687,11.9012461279978,11.5736804917479,11.2156675509135,11.2562967715418,11.1114063889811,12.2157267791245,11.4553928630886,11.0952864115491,..
Mexico,MEX,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.8849827349563,6.10715435556119,6.12779215120692,6.31038165916277,5.24348242663082,4.37296442827116,5.66963362393503,4.54221495501793,1.70388279390848,4.36836889546018,3.22542892220264,6.07758783903645,6.56759494838649,5.20449996518977,4.28758053550031,4.84133265906684,4.40704438422156,6.71992371939933,..
Mexico,MEX,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.5221459741421,22.564102949544,23.0719146913573,24.1213158820727,23.259250803935,23.3314894069097,24.2517581350559,24.3777390631793,22.6807316061557,22.2932759824671,23.7361297477321,24.3433923367685,23.8923507084672,23.4774930613878,22.1108367141392,20.2007410007137,21.455393094216,22.7449571978435,..
